phase,run_name,world_count,route_length,budget_ratio,composition_accuracy_mean,composition_accuracy_std,composition_accuracy_count,route_route_table_accuracy_mean,route_route_table_accuracy_std,route_route_table_accuracy_count,composition_route_gap_mean,composition_route_gap_std,composition_route_gap_count,top1_world_accuracy_mean,top1_world_accuracy_std,top1_world_accuracy_count,composition_mean_world_margin_mean,composition_mean_world_margin_std,composition_mean_world_margin_count,composition_mean_wrong_world_activation_mean,composition_mean_wrong_world_activation_std,composition_mean_wrong_world_activation_count,composition_mean_correct_margin_mean,composition_mean_correct_margin_std,composition_mean_correct_margin_count,used_edge_fraction_mean,used_edge_fraction_std,used_edge_fraction_count,stored_edge_count_mean,stored_edge_count_std,stored_edge_count_count,continuous_decode_accuracy_mean,continuous_decode_accuracy_std,continuous_decode_accuracy_count,decoded_start_accuracy_observed_mean,decoded_start_accuracy_observed_std,decoded_start_accuracy_observed_count
capacity_pressure,exp13_full_context_separated_memory,8,12,0.75,0.7546875,0.0033954179193764066,5,0.7611979166666667,0.0023653518391386387,5,0.006510416666666674,0.0030536560936350377,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.9149771922436469,0.0,5,0.75,0.0,5,576.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,12,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.1733468351007899,0.0,5,1.0,0.0,5,768.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,8,12,1.25,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.1733468351007899,0.0,5,1.0,0.0,5,768.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,1,0.25,0.2755208333333333,0.00641862372076365,5,0.27252604166666666,0.001350028733940637,5,-0.002994791666666663,0.0065525977292115265,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.4443551538501767,0.0,5,0.25,0.0,5,384.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,1,0.5,0.515625,0.0020587745183388165,5,0.51484375,0.002409733792099185,5,-0.0007812500000000222,0.0026605230132425136,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.8014272998035267,0.0,5,0.5,0.0,5,768.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,1,0.75,0.7591145833333333,0.0030536560936350403,5,0.7578125,0.0010293872591694059,5,-0.0013020833333333259,0.002723502690540582,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.1018295566699254,0.0,5,0.75,0.0,5,1152.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,1,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.3665599959724253,0.0,5,1.0,0.0,5,1536.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,1,1.25,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.3665599959724253,0.0,5,1.0,0.0,5,1536.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,4,0.25,0.2729166666666667,0.009726484060928686,5,0.27252604166666666,0.001350028733940637,5,-0.0003906250000000111,0.010341115994563692,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.4443551538501767,0.0,5,0.25,0.0,5,384.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,4,0.5,0.5140625,0.006914540649662365,5,0.51484375,0.002409733792099185,5,0.00078125,0.006335541992553588,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.8014272998035267,0.0,5,0.5,0.0,5,768.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,4,0.75,0.7565104166666667,0.004013290366516228,5,0.7578125,0.0010293872591694059,5,0.0013020833333333259,0.0034756114101664112,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.1018295566699254,0.0,5,0.75,0.0,5,1152.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,4,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.3665599959724253,0.0,5,1.0,0.0,5,1536.0,0.0,5,,,0,,,0
capacity_pressure,exp13_full_context_separated_memory,16,4,1.25,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.3665599959724253,0.0,5,1.0,0.0,5,1536.0,0.0,5,,,0,,,0
