phase,run_name,world_count,route_length,local_budget_ratio,composition_accuracy_mean,composition_accuracy_std,composition_accuracy_count,route_route_table_accuracy_mean,route_route_table_accuracy_std,route_route_table_accuracy_count,composition_route_gap_mean,composition_route_gap_std,composition_route_gap_count,top1_world_accuracy_mean,top1_world_accuracy_std,top1_world_accuracy_count,composition_mean_world_margin_mean,composition_mean_world_margin_std,composition_mean_world_margin_count,composition_mean_wrong_world_activation_mean,composition_mean_wrong_world_activation_std,composition_mean_wrong_world_activation_count,composition_mean_correct_margin_mean,composition_mean_correct_margin_std,composition_mean_correct_margin_count,used_edge_fraction_mean,used_edge_fraction_std,used_edge_fraction_count,stored_edge_count_mean,stored_edge_count_std,stored_edge_count_count,continuous_decode_accuracy_mean,continuous_decode_accuracy_std,continuous_decode_accuracy_count,decoded_start_accuracy_observed_mean,decoded_start_accuracy_observed_std,decoded_start_accuracy_observed_count
local_capacity_pressure,exp13_no_recurrence,8,12,0.75,0.0421875,0.00946140735655466,5,0.7606770833333334,0.0021395412402545632,5,0.7184895833333333,0.010948345317488513,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.8965890893288438,0.03389696317475873,5,0.7640625,0.028503433942733625,5,576.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_recurrence,8,12,1.0,0.04375,0.011558510948527159,5,1.0,0.0,5,0.95625,0.01155851094852713,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.1733468351007899,0.0,5,1.0,0.0,5,768.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_recurrence,16,12,0.25,0.03359375,0.0031086813506024254,5,0.27278645833333337,0.002109616112762971,5,0.23919270833333334,0.005097286232047758,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.3483405919841185,0.01817673798845694,5,0.25364583333333335,0.012804187259311997,5,384.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_recurrence,16,12,0.5,0.03515625,0.004219232225525952,5,0.5157552083333333,0.001685179571034463,5,0.4805989583333333,0.00454331935478329,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.6789292827387955,0.0229745058537542,5,0.49453125,0.014334748900544684,5,768.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_recurrence,16,12,0.75,0.03463541666666666,0.006217362701204856,5,0.7580729166666667,0.0015679159607802319,5,0.7234375,0.007457198470456427,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0314277849621827,0.028371016455988267,5,0.7526041666666666,0.0186202469349936,5,1152.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_recurrence,16,12,1.0,0.040625,0.006600933258144048,5,1.0,0.0,5,0.959375,0.00660093325814402,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.3665599959724253,0.0,5,1.0,0.0,5,1536.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_recurrence,32,12,0.25,0.03567708333333334,0.002496131446963648,5,0.2720703125,0.0023854259063230947,5,0.23639322916666666,0.004835929436472357,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.4894338620871145,0.02173829417691665,5,0.25533854166666664,0.01213978875551983,5,768.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_recurrence,32,12,0.5,0.03971354166666667,0.0038790284140016217,5,0.51484375,0.001988077016224262,5,0.4751302083333333,0.005035587397227166,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.9572696634390582,0.013903104151640496,5,0.5010416666666667,0.0028228493995675853,5,1536.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_recurrence,32,12,0.75,0.04361979166666667,0.00460355977334992,5,0.7574869791666667,0.000949048159968317,5,0.7138671875,0.004300079691934545,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.4391737144737182,0.02249158050900316,5,0.7514322916666666,0.006772085220805153,5,2304.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_recurrence,32,12,1.0,0.044921875,0.004672102895314885,5,1.0,0.0,5,0.955078125,0.004672102895314891,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
