phase,run_name,world_count,route_length,generalization_condition,composition_accuracy_mean,composition_accuracy_std,composition_accuracy_count,route_route_table_accuracy_mean,route_route_table_accuracy_std,route_route_table_accuracy_count,composition_route_gap_mean,composition_route_gap_std,composition_route_gap_count,composition_mean_correct_margin_mean,composition_mean_correct_margin_std,composition_mean_correct_margin_count,composition_mean_world_margin_mean,composition_mean_world_margin_std,composition_mean_world_margin_count,composition_mean_wrong_world_activation_mean,composition_mean_wrong_world_activation_std,composition_mean_wrong_world_activation_count
heldout_generalization,exp12_no_context_binding,8,12,heldout_multistep,1.0,0.0,240,1.0,0.0,240,0.0,0.0,240,0.2145780280359137,0.01116106790265755,240,-0.2987191160176719,0.016218241213164255,240,0.20794641323555577,0.0017657853831685919,240
heldout_generalization,exp12_no_context_binding,16,1,seen_one_step,1.0,0.0,480,1.0,0.0,480,0.0,0.0,480,0.21474546027004054,0.009964857151705808,480,-0.3029582587310625,0.015606462602016508,480,0.11277392901110485,0.0009573095078783685,480
heldout_generalization,exp12_no_context_binding,16,2,heldout_multistep,1.0,0.0,480,1.0,0.0,480,0.0,0.0,480,0.21474546027004054,0.009964857151705808,480,-0.3029582587310625,0.015606462602016508,480,0.11277392901110485,0.0009573095078783685,480
heldout_generalization,exp12_no_context_binding,16,4,heldout_multistep,1.0,0.0,480,1.0,0.0,480,0.0,0.0,480,0.21474546027004054,0.009964857151705808,480,-0.3029582587310625,0.015606462602016508,480,0.11277392901110485,0.0009573095078783685,480
heldout_generalization,exp12_no_context_binding,16,8,heldout_multistep,1.0,0.0,480,1.0,0.0,480,0.0,0.0,480,0.21474546027004054,0.009964857151705808,480,-0.3029582587310625,0.015606462602016508,480,0.11277392901110485,0.0009573095078783685,480
heldout_generalization,exp12_no_context_binding,16,12,heldout_multistep,1.0,0.0,480,1.0,0.0,480,0.0,0.0,480,0.21474546027004054,0.009964857151705808,480,-0.3029582587310625,0.015606462602016508,480,0.11277392901110485,0.0009573095078783685,480
heldout_generalization,exp12_no_context_binding,32,1,seen_one_step,1.0,0.0,960,1.0,0.0,960,0.0,0.0,960,0.21521412018866293,0.00928662368580802,960,-0.3096831609915615,0.01560008757678089,960,0.05918018444682714,0.0005588873487590232,960
heldout_generalization,exp12_no_context_binding,32,2,heldout_multistep,1.0,0.0,960,1.0,0.0,960,0.0,0.0,960,0.21521412018866293,0.00928662368580802,960,-0.3096831609915615,0.01560008757678089,960,0.05918018444682714,0.0005588873487590232,960
heldout_generalization,exp12_no_context_binding,32,4,heldout_multistep,1.0,0.0,960,1.0,0.0,960,0.0,0.0,960,0.21521412018866293,0.00928662368580802,960,-0.3096831609915615,0.01560008757678089,960,0.05918018444682714,0.0005588873487590232,960
heldout_generalization,exp12_no_context_binding,32,8,heldout_multistep,1.0,0.0,960,1.0,0.0,960,0.0,0.0,960,0.21521412018866293,0.00928662368580802,960,-0.3096831609915615,0.01560008757678089,960,0.05918018444682714,0.0005588873487590232,960
